text,label
gelisah bgt astaga,0.0
"Serba salah, mundur sayang, maju ragu. Diem di tempat resah dan gelisah 😌😌😌",0.0
"Resah dan gelisah deh mimin, dah sebulan lewat coy. Maksudx apaan.",0.0
"Rasanya takut, cemas, apa saya bisa? Dan semoga keluarga saya atau kita terlindungi :)",0.0
Pernah gk sih ngerasain gelisah tapi gk tau sebabnya apa?,0.0
Sebab cemas ini adalah kamu.,0.0
"Tiap bangun tidur pasti gelisah dan deg2an, sampe kapan cobak🙂",0.0
"Cuman bisa bersemoga, walaupun harap2 cemas kalo awalannya begini....",0.0
"restive = gelisah, resah",0.0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0
"Kalo cowoknya sakit, sebenarnya cewek itu juga ngerasa sakit secara ga langsung. Perasaan nya pasti gak tenang dan gelisah. :')",0.0
"Aku pernah menjadi orang paling cemas sebelum aku menjadi orang paling ihklas, aku juga pernah menjadi orang paling khawatir sebelum semuanya berakhir",0.0
Udah cemas ngangjat telponnya,0.0
Gelisah bgt dah dari tadi pagi 😭😭😭,0.0
di bikin gelisah mulu anjg,0.0
Ngantuk tp gelisah pas tidur tuh gimana,0.0
Ini gua kenapa ya...Udah mood berantakan trus tuh jantungnya kayak detaknya kuat banget... gelisah banget rasanya.Ada sesuatu apa ya???,0.0
GAJE BGT SI RA TBTB GELISAH KEKK PAAAN SIHHH GBLOK,0.0
"Aku patah dan rapuh, aku terluka, aku sudah tak sanggup lagi menahan gelisah, menahan rasa sayang. Samapi sekarang pun aku di abaikan tak di lihat bahkan di tinggalkan jauh. Aku memang tidak seperti yg dia inginkan, mangkanya aku mundur saja ya.",0.0
"# saran lagu yang bikin tenang dong, gatau kenapa tiba-tiba muncul perasaan gusar/gelisah gini. Thanks!",0.0
Gelisah terooosss huuu,0.0
"Malam ini dia terus mengoceh soal uang, ku jadi merasa bingung harus bagaimana. Pernah dia bilang jangan cemas soal uang, namun dia terus mengoceh soal uang.",0.0
Ngerasa gelisah bgt akhir2 ini.,0.0
Yak allah gelisah saya,0.0
tapi hatinya mah tetep gelisah walau mulut ngomong,0.0
tapi hatinya mah tetep gelisah walau mulut ngomong,0.0
tapi hatinya mah tetep gelisah walau mulut ngomong,0.0
tapi hatinya mah tetep gelisah walau mulut ngomong,0.0
"menunggu ketidakpastian, harap harap cemas",0.0
"pernah jadi orang yang paling cemas, sebelum jadi orang yang paling ikhlas",0.0
"kalian waktu baca au pernah gak sih sampai kebawa ke rl, maksudku suasananya, rasanya. .soalnya aku kok gini yaa 😭.mood ku jadi naik turun, ikut gelisah mulu. waktu baca au yang topik nya soal mental illness 🙁 hari-hari ku jadi gak tenang....dan sekarang aku takut.",0.0
"udah beberapa hari ini rasanya gelisah mulu, skrg mual, kaya org ...",0.0
O tiada ku gelisah.Akan masa menjelang.Ku berjalan serta Yesus.Maka hatiku tenang ..Setiap nyanyi lagu Tak ku tahu kan hari esok dibagian ini selalu pengen nangis😭.Soalnya aku menyanyikannya tapi tidak melakukannya😭.Maaf Tuhan aku terlalu sering khawatir😭😭,0.0
Mengendalikan rasa cemas tidak semudah kedengarannya..,0.0
Orang yang gelisah dan takut dapat dilihat dari seringnya menyentuh wajah dan membunyikan jari-jari tangan.,0.0
"tau ga se rek ngeroso akeh pikiran tp mbo opo seng dipikir :( , kok rasane gelisah ae",0.0
perasaan sensitif bikin hati gelisah.,0.0
Biar ga gelisah gmn si🙂,0.0
abis di confessin gelisah bgt dah gua aelah😭,0.0
Resah.. dan.. gelisah.. 🎵🎶🎤,0.0
kok ak gelisah ya😐😐😐😐,0.0
yaallah knp gelisah gini,0.0
perasaan gelisah sudah mulai bermunculan 😱,0.0
Gelisah bgt bgsd,0.0
"Hari-hari penuh gelisah, dengan pemasukan yang belum tau arah..Semoga selalu dapat apa yg kita butuhkan dan diberi kelibihan untuk sebuah keinginan...5 - 5 - 21",0.0
1 jam bangun 1 jam bangun ngde si gelisah kene kle cak sete poles dwg,0.0
"Gw gasuka cemas anjir, gasuka wehhh😭",0.0
"Dibalik online mu, ada hati yg harap2 cemas menunggu kabar darimu🤣",0.0
resah gelisah parai,0.0
gelisah ga tau kenapa.ga tenang aja rasanya,0.0
Rasanya gelisah anjir.,0.0
gelisah mulu gatau karena apa,0.0
"Hari demi hari, harapan itu kian bertumbuh, semakin aku merasa dekat, semakin banyak yg kuharapkan darimu, dan kadang2 aku menjadi  cemas karena hal tersebut. Sampai2 aku menjaid khawatir, khawatir kalau hal itu membuat harapan ku menganggu. Terutama menganggu km.",0.0
Uti demam pon aku dah sedih dan gelisah.. Apatah lagi si kenit nii demam haihhh laaa,0.0
Terlalu cemas.Terlalu khawatir.Terlalu takut,0.0
Resah dan gelisah.,0.0
Akan selalu ada tenang di sela sela gelisah,0.0
"dismayed = kecewa, cemas",0.0
Ini kok jantung aku deg2 an nya kenceng banget ya. Gelisah bgt. Tapi gatau apa yg aku gelisahin. Gaenak bgt perasaan.....,0.0
Lagi gelisah. Semoga yg disana baik2 saja yah....Ya Allah lindungilah dia.....Amin ya robbal alamin,0.0
"kalo temen""ku sudah reply tweetku yg menganduy opini, aku cemas 🥵",0.0
Gelisah mendadak. Kenape ye..,0.0
STOP GUE GAMAU GELISAH GUNDAH GULANA LAGI,0.0
Harap harap cemas,0.0
Gelisah gini woyyyiii😊,0.0
Harap2 cemas sampe mau nangis deh,0.0
"Catia hari sabtu.Presntasi Statin hari sabtu..On Going :.Laprak PSKE.Laprak PO.Tugas tugas..DAN SAMPE SEKARSNG BELUM CLEAR LATIHAN CATIA 2 PRODUK HAHAHAH..mantab, masih mode nyantuy dahal did dalem ya gelisah haha",0.0
"Aku gelisah, pas kamu datang ubah kegelisahan dan menjadi kegelisanku bertambah khawatir. Esok aku mencoba hidup tanpa kabar darimu lagi, lekas pergilah kamu dari rasa tak ikhlasku.",0.0
Se cemas itukah gue? *nanya sama diri gue yg lain. Sampe dikirim rezeki punya temen yg baik. Terharu,0.0
"Kayak ada sesuatu yg mengganjal, ada yg aneh, tapi ga tau apaan, rasanya gelisah gitu.",0.0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0
