text,label,reasoning
gelisah bgt astaga,0.0,
"tidur susah, pikiran kacau, hati gelisah. Semua tak selaras",1.0,gangguan tidur
"Serba salah, mundur sayang, maju ragu. Diem di tempat resah dan gelisah 😌😌😌",0.0,
Udah ngalihin fokus ke yang lain tapi tetep cemas,1.0,konsentrasi berkurang
"Resah dan gelisah deh mimin, dah sebulan lewat coy. Maksudx apaan.",0.0,
setiap istirahat pasti gelisah kyk ada yg ganjel tp apaan ya,1.0,gangguan tidur
"Rasanya takut, cemas, apa saya bisa? Dan semoga keluarga saya atau kita terlindungi :)",0.0,
Pernah gk sih ngerasain gelisah tapi gk tau sebabnya apa?,0.0,
"udaa 2 harian tidur gue ga nyenyak bgt, kaya gelisah gt. kenapa yaaa :( [].",1.0,gangguan tidur
"Bener-bener cemas, pengen nangis.",1.0,suram pesimis
"selalu gelisah tiap malem, pdahal gatau kenapa, salah apa. aneh.",1.0,gangguan tidur
"bingung ga enak bgt akhir"" ini tiap mau tidur bawaannya gelisah terus",1.0,gangguan tidur
"kdg yang dibutuhin kalo lagi ada masalah adalah ketawa-ketawa sampe lupa kalo lagi ada masalah, pas inget lagi kayak gelisah aj gitu “yahh anj ternyata msh ada beban sedih” asdfghjklzxccvbnm",1.0,konsentrasi berkurang
Sebab cemas ini adalah kamu.,0.0,
Kadang pemikiran sendiri yang bikin diri cemas dan takut buat nutupin mata sampai sampai ga tidur,1.0,gangguan tidur
"Tiap bangun tidur pasti gelisah dan deg2an, sampe kapan cobak🙂",0.0,
"Cuman bisa bersemoga, walaupun harap2 cemas kalo awalannya begini....",0.0,
"restive = gelisah, resah",0.0,
"""Tidak menyesali ataupun dendam/marah pada hal-hal yang sudah berlalu, dan tidak menaruh rasa cemas yang berlebihan akan masa mendatang, itulah ketenangan sejati""",0.0,
"Kalo cowoknya sakit, sebenarnya cewek itu juga ngerasa sakit secara ga langsung. Perasaan nya pasti gak tenang dan gelisah. :')",0.0,
"Aku pernah menjadi orang paling cemas sebelum aku menjadi orang paling ihklas, aku juga pernah menjadi orang paling khawatir sebelum semuanya berakhir",0.0,
Berjaya online at 9am. Tidur pun dalam keadaan gelisah what is wrong with me,1.0,gangguan tidur
Gk bisa tidorr.Gelisah aja bawaannya,1.0,gangguan tidur
Udah cemas ngangjat telponnya,0.0,
sedikit resah. sedikit gelisah. yang dirasa selalu merasa bersalah. maaf jikalau saya belum bisa menjadi yang terbaik seperti yang sudah sudah:’,1.0,rasa bersalah
Gelisah bgt dah dari tadi pagi 😭😭😭,0.0,
di bikin gelisah mulu anjg,0.0,
Ngantuk tp gelisah pas tidur tuh gimana,0.0,
Ini gua kenapa ya...Udah mood berantakan trus tuh jantungnya kayak detaknya kuat banget... gelisah banget rasanya.Ada sesuatu apa ya???,0.0,
